t,p,strike
2026-05-12 19:40:08+00:00,0.005,<$20B
2026-05-12 19:50:07+00:00,0.0045,<$20B
2026-05-12 20:00:09+00:00,0.0045,<$20B
2026-05-12 20:10:06+00:00,0.005,<$20B
2026-05-12 20:20:07+00:00,0.0045,<$20B
2026-05-12 20:30:05+00:00,0.0045,<$20B
2026-05-12 20:40:06+00:00,0.0045,<$20B
2026-05-12 20:50:08+00:00,0.0045,<$20B
2026-05-12 21:00:07+00:00,0.0045,<$20B
2026-05-12 21:10:07+00:00,0.0045,<$20B
2026-05-12 21:20:06+00:00,0.006,<$20B
2026-05-12 21:30:21+00:00,0.0045,<$20B
2026-05-12 21:40:04+00:00,0.0045,<$20B
2026-05-12 21:50:08+00:00,0.0045,<$20B
2026-05-12 22:00:14+00:00,0.0045,<$20B
2026-05-12 22:10:07+00:00,0.004,<$20B
2026-05-12 22:20:06+00:00,0.004,<$20B
2026-05-12 22:30:11+00:00,0.004,<$20B
2026-05-12 22:40:20+00:00,0.004,<$20B
2026-05-12 22:50:07+00:00,0.004,<$20B
2026-05-12 23:00:06+00:00,0.004,<$20B
2026-05-12 23:10:07+00:00,0.004,<$20B
2026-05-12 23:20:08+00:00,0.004,<$20B
2026-05-12 23:30:08+00:00,0.004,<$20B
2026-05-12 23:40:06+00:00,0.004,<$20B
2026-05-12 23:50:22+00:00,0.004,<$20B
2026-05-13 00:00:12+00:00,0.004,<$20B
2026-05-13 00:10:06+00:00,0.004,<$20B
2026-05-13 00:20:07+00:00,0.004,<$20B
2026-05-13 00:30:20+00:00,0.004,<$20B
2026-05-13 00:40:05+00:00,0.004,<$20B
2026-05-13 00:50:04+00:00,0.004,<$20B
2026-05-13 01:00:09+00:00,0.004,<$20B
2026-05-13 01:10:20+00:00,0.004,<$20B
2026-05-13 01:20:10+00:00,0.004,<$20B
2026-05-13 01:30:09+00:00,0.004,<$20B
2026-05-13 01:40:08+00:00,0.004,<$20B
2026-05-13 01:50:05+00:00,0.004,<$20B
2026-05-13 02:00:09+00:00,0.004,<$20B
2026-05-13 02:10:10+00:00,0.004,<$20B
2026-05-13 02:20:06+00:00,0.004,<$20B
2026-05-13 02:30:10+00:00,0.004,<$20B
2026-05-13 02:40:07+00:00,0.004,<$20B
2026-05-13 02:50:07+00:00,0.004,<$20B
2026-05-13 03:00:16+00:00,0.004,<$20B
2026-05-13 03:10:20+00:00,0.004,<$20B
2026-05-13 03:20:07+00:00,0.004,<$20B
2026-05-13 03:30:06+00:00,0.004,<$20B
2026-05-13 03:40:05+00:00,0.004,<$20B
2026-05-13 03:50:06+00:00,0.004,<$20B
2026-05-13 04:00:07+00:00,0.004,<$20B
2026-05-13 04:10:08+00:00,0.004,<$20B
2026-05-13 04:20:08+00:00,0.004,<$20B
2026-05-13 04:30:31+00:00,0.004,<$20B
2026-05-13 04:40:06+00:00,0.004,<$20B
2026-05-13 04:50:05+00:00,0.004,<$20B
2026-05-13 05:00:07+00:00,0.004,<$20B
2026-05-13 05:10:05+00:00,0.004,<$20B
2026-05-13 05:20:06+00:00,0.004,<$20B
2026-05-13 05:30:07+00:00,0.005,<$20B
2026-05-13 05:40:07+00:00,0.0025,<$20B
2026-05-13 05:50:07+00:00,0.0025,<$20B
2026-05-13 06:00:06+00:00,0.003,<$20B
2026-05-13 06:10:07+00:00,0.003,<$20B
2026-05-13 06:20:07+00:00,0.003,<$20B
2026-05-13 06:30:05+00:00,0.003,<$20B
2026-05-13 06:40:07+00:00,0.003,<$20B
2026-05-13 06:50:05+00:00,0.003,<$20B
2026-05-13 07:00:06+00:00,0.003,<$20B
2026-05-13 07:10:07+00:00,0.003,<$20B
2026-05-13 07:20:05+00:00,0.0035,<$20B
2026-05-13 07:30:07+00:00,0.0035,<$20B
2026-05-13 07:40:07+00:00,0.0035,<$20B
2026-05-13 07:50:06+00:00,0.003,<$20B
2026-05-13 08:00:11+00:00,0.003,<$20B
2026-05-13 08:10:05+00:00,0.001,<$20B
2026-05-13 08:20:08+00:00,0.001,<$20B
2026-05-13 08:30:08+00:00,0.0015,<$20B
2026-05-13 08:40:07+00:00,0.0015,<$20B
2026-05-13 08:50:05+00:00,0.0015,<$20B
2026-05-13 09:00:07+00:00,0.0015,<$20B
2026-05-13 09:10:11+00:00,0.0015,<$20B
2026-05-13 09:20:06+00:00,0.0015,<$20B
2026-05-13 09:30:19+00:00,0.0015,<$20B
2026-05-13 09:40:09+00:00,0.0015,<$20B
2026-05-13 09:50:10+00:00,0.0015,<$20B
2026-05-13 10:00:07+00:00,0.0015,<$20B
2026-05-13 10:10:05+00:00,0.0015,<$20B
2026-05-13 10:20:04+00:00,0.0015,<$20B
2026-05-13 10:30:14+00:00,0.0015,<$20B
2026-05-13 10:40:19+00:00,0.0015,<$20B
2026-05-13 10:50:07+00:00,0.0015,<$20B
2026-05-13 11:00:05+00:00,0.0015,<$20B
2026-05-13 11:10:06+00:00,0.0015,<$20B
2026-05-13 11:20:07+00:00,0.0015,<$20B
2026-05-13 11:30:08+00:00,0.0015,<$20B
2026-05-13 11:40:04+00:00,0.0015,<$20B
2026-05-13 11:50:08+00:00,0.0015,<$20B
2026-05-13 12:00:10+00:00,0.0015,<$20B
2026-05-13 12:10:13+00:00,0.0015,<$20B
2026-05-13 12:20:18+00:00,0.0015,<$20B
2026-05-13 12:30:10+00:00,0.0015,<$20B
2026-05-13 12:40:11+00:00,0.0015,<$20B
2026-05-13 12:50:05+00:00,0.0015,<$20B
2026-05-13 13:00:08+00:00,0.0015,<$20B
2026-05-13 13:10:08+00:00,0.0015,<$20B
2026-05-13 13:20:08+00:00,0.0015,<$20B
2026-05-13 13:30:10+00:00,0.0015,<$20B
2026-05-13 13:40:08+00:00,0.0015,<$20B
2026-05-13 13:50:14+00:00,0.0015,<$20B
2026-05-13 14:00:08+00:00,0.0015,<$20B
2026-05-13 14:10:06+00:00,0.0015,<$20B
2026-05-13 14:20:08+00:00,0.0015,<$20B
2026-05-13 14:30:07+00:00,0.0015,<$20B
2026-05-13 14:40:08+00:00,0.0015,<$20B
2026-05-13 14:50:10+00:00,0.0015,<$20B
2026-05-13 15:00:17+00:00,0.0015,<$20B
2026-05-13 15:10:08+00:00,0.0015,<$20B
2026-05-13 15:20:10+00:00,0.0015,<$20B
2026-05-13 15:30:10+00:00,0.0015,<$20B
2026-05-13 15:40:08+00:00,0.0015,<$20B
2026-05-13 15:50:07+00:00,0.0015,<$20B
2026-05-13 16:00:12+00:00,0.0015,<$20B
2026-05-13 16:10:08+00:00,0.0015,<$20B
2026-05-13 16:20:18+00:00,0.0015,<$20B
2026-05-13 16:30:08+00:00,0.0015,<$20B
2026-05-13 16:40:04+00:00,0.0015,<$20B
2026-05-13 16:50:20+00:00,0.0015,<$20B
2026-05-13 17:00:15+00:00,0.0015,<$20B
2026-05-13 17:10:05+00:00,0.0015,<$20B
2026-05-13 17:20:05+00:00,0.0015,<$20B
2026-05-13 17:30:10+00:00,0.0015,<$20B
2026-05-13 17:40:08+00:00,0.0015,<$20B
2026-05-13 17:50:05+00:00,0.0015,<$20B
2026-05-13 18:00:12+00:00,0.0015,<$20B
2026-05-13 18:10:06+00:00,0.0015,<$20B
2026-05-13 18:20:06+00:00,0.0015,<$20B
2026-05-13 18:30:20+00:00,0.0015,<$20B
2026-05-13 18:40:07+00:00,0.0015,<$20B
2026-05-13 18:50:05+00:00,0.0015,<$20B
2026-05-13 19:00:08+00:00,0.0015,<$20B
2026-05-13 19:10:09+00:00,0.0015,<$20B
2026-05-13 19:20:12+00:00,0.0015,<$20B
2026-05-13 19:30:10+00:00,0.0015,<$20B
2026-05-13 19:40:23+00:00,0.0015,<$20B
2026-05-13 19:50:12+00:00,0.0015,<$20B
2026-05-13 20:00:10+00:00,0.0015,<$20B
2026-05-13 20:10:07+00:00,0.0015,<$20B
2026-05-13 20:20:05+00:00,0.0015,<$20B
2026-05-13 20:30:06+00:00,0.0015,<$20B
2026-05-13 20:40:08+00:00,0.0015,<$20B
2026-05-13 20:50:06+00:00,0.0015,<$20B
2026-05-13 21:00:10+00:00,0.0015,<$20B
2026-05-13 21:10:05+00:00,0.0015,<$20B
2026-05-13 21:20:19+00:00,0.0015,<$20B
2026-05-13 21:30:08+00:00,0.0015,<$20B
2026-05-13 21:40:09+00:00,0.0015,<$20B
2026-05-13 21:50:33+00:00,0.0015,<$20B
2026-05-13 22:00:09+00:00,0.0015,<$20B
2026-05-13 22:10:07+00:00,0.0015,<$20B
2026-05-13 22:20:07+00:00,0.0015,<$20B
2026-05-13 22:30:08+00:00,0.0015,<$20B
2026-05-13 22:40:05+00:00,0.0015,<$20B
2026-05-13 22:50:05+00:00,0.0015,<$20B
2026-05-13 23:00:10+00:00,0.0015,<$20B
2026-05-13 23:10:09+00:00,0.0015,<$20B
2026-05-13 23:20:23+00:00,0.0015,<$20B
2026-05-13 23:30:24+00:00,0.0015,<$20B
2026-05-13 23:40:07+00:00,0.0015,<$20B
2026-05-13 23:50:10+00:00,0.0015,<$20B
2026-05-14 00:00:16+00:00,0.0015,<$20B
2026-05-14 00:10:09+00:00,0.0015,<$20B
2026-05-14 00:20:11+00:00,0.0015,<$20B
2026-05-14 00:30:10+00:00,0.0015,<$20B
2026-05-14 00:40:06+00:00,0.0015,<$20B
2026-05-14 00:50:11+00:00,0.0015,<$20B
2026-05-14 01:00:08+00:00,0.0015,<$20B
2026-05-14 01:10:09+00:00,0.0015,<$20B
2026-05-14 01:20:07+00:00,0.0005,<$20B
2026-05-14 01:30:08+00:00,0.001,<$20B
2026-05-14 01:40:04+00:00,0.001,<$20B
2026-05-14 01:50:07+00:00,0.001,<$20B
2026-05-14 02:00:20+00:00,0.001,<$20B
2026-05-14 02:10:07+00:00,0.001,<$20B
2026-05-14 02:20:08+00:00,0.001,<$20B
2026-05-14 02:30:08+00:00,0.001,<$20B
2026-05-14 02:40:06+00:00,0.001,<$20B
2026-05-14 02:50:05+00:00,0.001,<$20B
2026-05-14 03:00:11+00:00,0.001,<$20B
2026-05-14 03:10:06+00:00,0.001,<$20B
2026-05-14 03:20:18+00:00,0.001,<$20B
2026-05-14 03:30:06+00:00,0.001,<$20B
2026-05-14 03:40:05+00:00,0.001,<$20B
2026-05-14 03:50:04+00:00,0.001,<$20B
2026-05-14 04:00:07+00:00,0.001,<$20B
2026-05-14 04:10:06+00:00,0.001,<$20B
2026-05-14 04:20:07+00:00,0.001,<$20B
2026-05-14 04:30:06+00:00,0.001,<$20B
2026-05-14 04:40:06+00:00,0.001,<$20B
2026-05-14 04:50:05+00:00,0.001,<$20B
2026-05-14 05:00:08+00:00,0.001,<$20B
2026-05-14 05:10:08+00:00,0.001,<$20B
2026-05-14 05:20:05+00:00,0.001,<$20B
2026-05-14 05:30:06+00:00,0.001,<$20B
2026-05-14 05:40:06+00:00,0.001,<$20B
2026-05-14 05:50:04+00:00,0.001,<$20B
2026-05-14 06:00:07+00:00,0.001,<$20B
2026-05-14 06:10:05+00:00,0.001,<$20B
2026-05-14 06:20:10+00:00,0.001,<$20B
2026-05-14 06:30:08+00:00,0.001,<$20B
2026-05-14 06:40:09+00:00,0.0005,<$20B
2026-05-14 06:50:04+00:00,0.0005,<$20B
2026-05-14 07:00:06+00:00,0.0005,<$20B
2026-05-14 07:10:07+00:00,0.0005,<$20B
2026-05-14 07:20:08+00:00,0.0005,<$20B
2026-05-14 07:30:07+00:00,0.0005,<$20B
2026-05-14 07:40:05+00:00,0.0005,<$20B
2026-05-14 07:50:04+00:00,0.0005,<$20B
2026-05-14 08:00:07+00:00,0.0005,<$20B
2026-05-14 08:10:05+00:00,0.0005,<$20B
2026-05-14 08:20:04+00:00,0.0005,<$20B
2026-05-14 08:30:08+00:00,0.0005,<$20B
2026-05-14 08:40:17+00:00,0.0005,<$20B
2026-05-14 08:50:05+00:00,0.0005,<$20B
2026-05-14 09:00:09+00:00,0.0005,<$20B
2026-05-14 09:10:06+00:00,0.0005,<$20B
2026-05-14 09:20:05+00:00,0.0005,<$20B
2026-05-14 09:30:07+00:00,0.0005,<$20B
2026-05-14 09:40:08+00:00,0.0005,<$20B
2026-05-14 09:50:04+00:00,0.0005,<$20B
2026-05-14 10:00:09+00:00,0.0005,<$20B
2026-05-14 10:10:07+00:00,0.0005,<$20B
2026-05-14 10:20:07+00:00,0.0005,<$20B
2026-05-14 10:30:10+00:00,0.0005,<$20B
2026-05-14 10:40:08+00:00,0.0005,<$20B
2026-05-14 10:50:07+00:00,0.0005,<$20B
2026-05-14 11:00:09+00:00,0.0005,<$20B
2026-05-14 11:10:07+00:00,0.0005,<$20B
2026-05-14 11:20:08+00:00,0.0005,<$20B
2026-05-14 11:30:13+00:00,0.0005,<$20B
2026-05-14 11:40:08+00:00,0.0005,<$20B
2026-05-14 11:50:09+00:00,0.0005,<$20B
2026-05-14 12:00:10+00:00,0.0005,<$20B
2026-05-14 12:10:06+00:00,0.0005,<$20B
2026-05-14 12:20:10+00:00,0.0005,<$20B
2026-05-14 12:30:10+00:00,0.0005,<$20B
2026-05-14 12:40:05+00:00,0.0005,<$20B
2026-05-14 12:50:04+00:00,0.0005,<$20B
2026-05-14 13:00:09+00:00,0.0005,<$20B
2026-05-14 13:10:04+00:00,0.0005,<$20B
2026-05-14 13:20:05+00:00,0.0005,<$20B
2026-05-14 13:30:07+00:00,0.0005,<$20B
2026-05-14 13:40:19+00:00,0.0005,<$20B
2026-05-14 13:50:23+00:00,0.0005,<$20B
2026-05-14 14:00:08+00:00,0.0005,<$20B
2026-05-14 14:10:05+00:00,0.0005,<$20B
2026-05-14 14:20:23+00:00,0.0005,<$20B
2026-05-14 14:30:06+00:00,0.0005,<$20B
2026-05-14 14:40:06+00:00,0.0005,<$20B
2026-05-14 14:50:07+00:00,0.0005,<$20B
2026-05-14 15:00:07+00:00,0.0005,<$20B
2026-05-14 15:10:08+00:00,0.0005,<$20B
2026-05-14 15:20:09+00:00,0.0005,<$20B
2026-05-14 15:30:07+00:00,0.0005,<$20B
2026-05-14 15:40:09+00:00,0.0005,<$20B
2026-05-14 15:50:07+00:00,0.0005,<$20B
2026-05-14 16:00:07+00:00,0.0005,<$20B
2026-05-14 16:10:06+00:00,0.0005,<$20B
2026-05-14 16:20:20+00:00,0.0005,<$20B
2026-05-14 16:30:06+00:00,0.0005,<$20B
2026-05-14 16:40:06+00:00,0.0005,<$20B
2026-05-14 16:50:06+00:00,0.0005,<$20B
2026-05-14 17:00:10+00:00,0.0005,<$20B
2026-05-14 17:10:07+00:00,0.0005,<$20B
2026-05-14 17:20:08+00:00,0.0005,<$20B
2026-05-14 17:30:12+00:00,0.0005,<$20B
2026-05-14 17:40:07+00:00,0.0005,<$20B
2026-05-14 17:50:07+00:00,0.0005,<$20B
2026-05-14 18:00:13+00:00,0.0005,<$20B
2026-05-14 18:10:09+00:00,0.0005,<$20B
2026-05-14 18:20:07+00:00,0.0005,<$20B
2026-05-14 18:30:10+00:00,0.0005,<$20B
2026-05-14 18:40:09+00:00,0.0005,<$20B
2026-05-14 18:50:07+00:00,0.0005,<$20B
2026-05-14 19:00:12+00:00,0.0005,<$20B
2026-05-14 19:10:09+00:00,0.0005,<$20B
2026-05-14 19:20:07+00:00,0.0005,<$20B
2026-05-14 19:30:06+00:00,0.0005,<$20B
2026-05-14 19:40:07+00:00,0.0005,<$20B
2026-05-14 19:50:07+00:00,0.0005,<$20B
2026-05-14 20:00:07+00:00,0.0005,<$20B
2026-05-14 20:10:07+00:00,0.0005,<$20B
2026-05-14 20:20:07+00:00,0.0005,<$20B
2026-05-14 20:30:06+00:00,0.0005,<$20B
2026-05-14 20:40:05+00:00,0.0005,<$20B
2026-05-14 20:50:09+00:00,0.0005,<$20B
2026-05-14 21:00:11+00:00,0.0005,<$20B
2026-05-14 21:10:07+00:00,0.0005,<$20B
2026-05-14 21:20:04+00:00,0.0005,<$20B
2026-05-14 21:30:25+00:00,0.0005,<$20B
2026-05-14 21:40:06+00:00,0.0005,<$20B
2026-05-14 21:50:07+00:00,0.0005,<$20B
2026-05-14 22:00:08+00:00,0.0005,<$20B
2026-05-14 22:10:04+00:00,0.0005,<$20B
2026-05-12 12:10:06+00:00,0.004,$20-30B
2026-05-12 12:20:09+00:00,0.004,$20-30B
2026-05-12 12:30:09+00:00,0.004,$20-30B
2026-05-12 12:40:07+00:00,0.004,$20-30B
2026-05-12 12:50:19+00:00,0.004,$20-30B
2026-05-12 13:00:06+00:00,0.004,$20-30B
2026-05-12 13:10:08+00:00,0.004,$20-30B
2026-05-12 13:30:09+00:00,0.004,$20-30B
2026-05-12 13:40:07+00:00,0.004,$20-30B
2026-05-12 13:50:04+00:00,0.004,$20-30B
2026-05-12 14:00:08+00:00,0.004,$20-30B
2026-05-12 14:10:06+00:00,0.004,$20-30B
2026-05-12 14:20:07+00:00,0.004,$20-30B
2026-05-12 14:30:10+00:00,0.005,$20-30B
2026-05-12 14:40:07+00:00,0.005,$20-30B
2026-05-12 14:50:07+00:00,0.005,$20-30B
2026-05-12 15:00:12+00:00,0.005,$20-30B
2026-05-12 15:10:05+00:00,0.005,$20-30B
2026-05-12 15:20:06+00:00,0.005,$20-30B
2026-05-12 15:30:14+00:00,0.005,$20-30B
2026-05-12 15:40:07+00:00,0.005,$20-30B
2026-05-12 15:50:09+00:00,0.005,$20-30B
2026-05-12 16:00:07+00:00,0.005,$20-30B
2026-05-12 16:10:06+00:00,0.005,$20-30B
2026-05-12 16:20:06+00:00,0.005,$20-30B
2026-05-12 16:30:08+00:00,0.005,$20-30B
2026-05-12 16:40:08+00:00,0.005,$20-30B
2026-05-12 16:50:07+00:00,0.005,$20-30B
2026-05-12 17:00:30+00:00,0.005,$20-30B
2026-05-12 17:10:08+00:00,0.005,$20-30B
2026-05-12 17:20:08+00:00,0.005,$20-30B
2026-05-12 17:30:10+00:00,0.005,$20-30B
2026-05-12 17:40:07+00:00,0.005,$20-30B
2026-05-12 17:50:06+00:00,0.005,$20-30B
2026-05-12 18:00:09+00:00,0.005,$20-30B
2026-05-12 18:10:08+00:00,0.005,$20-30B
2026-05-12 18:20:09+00:00,0.0055,$20-30B
2026-05-12 18:30:07+00:00,0.0055,$20-30B
2026-05-12 18:40:05+00:00,0.0055,$20-30B
2026-05-12 18:50:06+00:00,0.0055,$20-30B
2026-05-12 19:00:10+00:00,0.0055,$20-30B
2026-05-12 19:10:08+00:00,0.0055,$20-30B
2026-05-12 19:20:06+00:00,0.0055,$20-30B
2026-05-12 19:30:07+00:00,0.0055,$20-30B
2026-05-12 19:40:09+00:00,0.0055,$20-30B
2026-05-12 19:50:07+00:00,0.0055,$20-30B
2026-05-12 20:00:10+00:00,0.0055,$20-30B
2026-05-12 20:10:07+00:00,0.0055,$20-30B
2026-05-12 20:20:07+00:00,0.0055,$20-30B
2026-05-12 20:30:06+00:00,0.0055,$20-30B
2026-05-12 20:40:06+00:00,0.0055,$20-30B
2026-05-12 20:50:08+00:00,0.006,$20-30B
2026-05-12 21:00:09+00:00,0.006,$20-30B
2026-05-12 21:10:08+00:00,0.006,$20-30B
2026-05-12 21:20:06+00:00,0.006,$20-30B
2026-05-12 21:30:21+00:00,0.006,$20-30B
2026-05-12 21:40:04+00:00,0.006,$20-30B
2026-05-12 21:50:08+00:00,0.006,$20-30B
2026-05-12 22:00:20+00:00,0.006,$20-30B
2026-05-12 22:10:07+00:00,0.006,$20-30B
2026-05-12 22:20:07+00:00,0.0055,$20-30B
2026-05-12 22:30:11+00:00,0.0055,$20-30B
2026-05-12 22:40:21+00:00,0.0055,$20-30B
2026-05-12 22:50:08+00:00,0.0055,$20-30B
2026-05-12 23:00:07+00:00,0.0055,$20-30B
2026-05-12 23:10:07+00:00,0.0055,$20-30B
2026-05-12 23:20:08+00:00,0.0055,$20-30B
2026-05-12 23:30:09+00:00,0.0055,$20-30B
2026-05-12 23:40:06+00:00,0.0055,$20-30B
2026-05-12 23:50:23+00:00,0.0055,$20-30B
2026-05-13 00:00:13+00:00,0.0055,$20-30B
2026-05-13 00:10:06+00:00,0.0055,$20-30B
2026-05-13 00:20:08+00:00,0.0055,$20-30B
2026-05-13 00:30:21+00:00,0.0055,$20-30B
2026-05-13 00:40:05+00:00,0.005,$20-30B
2026-05-13 00:50:04+00:00,0.005,$20-30B
2026-05-13 01:00:09+00:00,0.005,$20-30B
2026-05-13 01:10:21+00:00,0.005,$20-30B
2026-05-13 01:20:11+00:00,0.005,$20-30B
2026-05-13 01:30:10+00:00,0.005,$20-30B
2026-05-13 01:40:08+00:00,0.005,$20-30B
2026-05-13 01:50:06+00:00,0.005,$20-30B
2026-05-13 02:00:10+00:00,0.005,$20-30B
2026-05-13 02:10:11+00:00,0.005,$20-30B
2026-05-13 02:20:07+00:00,0.005,$20-30B
2026-05-13 02:30:11+00:00,0.005,$20-30B
2026-05-13 02:40:07+00:00,0.005,$20-30B
2026-05-13 02:50:07+00:00,0.005,$20-30B
2026-05-13 03:00:23+00:00,0.005,$20-30B
2026-05-13 03:10:20+00:00,0.005,$20-30B
2026-05-13 03:20:07+00:00,0.005,$20-30B
2026-05-13 03:30:06+00:00,0.005,$20-30B
2026-05-13 03:40:05+00:00,0.005,$20-30B
2026-05-13 03:50:07+00:00,0.005,$20-30B
2026-05-13 04:00:08+00:00,0.005,$20-30B
2026-05-13 04:10:08+00:00,0.005,$20-30B
2026-05-13 04:20:08+00:00,0.005,$20-30B
2026-05-13 04:40:06+00:00,0.005,$20-30B
2026-05-13 04:50:06+00:00,0.005,$20-30B
2026-05-13 05:00:08+00:00,0.005,$20-30B
2026-05-13 05:10:06+00:00,0.005,$20-30B
2026-05-13 05:20:06+00:00,0.005,$20-30B
2026-05-13 05:30:08+00:00,0.005,$20-30B
2026-05-13 05:40:07+00:00,0.003,$20-30B
2026-05-13 05:50:07+00:00,0.003,$20-30B
2026-05-13 06:00:08+00:00,0.003,$20-30B
2026-05-13 06:10:07+00:00,0.003,$20-30B
2026-05-13 06:20:07+00:00,0.003,$20-30B
2026-05-13 06:30:06+00:00,0.003,$20-30B
2026-05-13 06:40:07+00:00,0.003,$20-30B
2026-05-13 06:50:06+00:00,0.003,$20-30B
2026-05-13 07:00:08+00:00,0.003,$20-30B
2026-05-13 07:10:08+00:00,0.003,$20-30B
2026-05-13 07:20:06+00:00,0.003,$20-30B
2026-05-13 07:30:08+00:00,0.003,$20-30B
2026-05-13 07:40:08+00:00,0.003,$20-30B
2026-05-13 07:50:07+00:00,0.003,$20-30B
2026-05-13 08:00:12+00:00,0.003,$20-30B
2026-05-13 08:10:05+00:00,0.002,$20-30B
2026-05-13 08:20:08+00:00,0.0015,$20-30B
2026-05-13 08:30:09+00:00,0.0015,$20-30B
2026-05-13 08:40:08+00:00,0.0015,$20-30B
2026-05-13 08:50:05+00:00,0.0015,$20-30B
2026-05-13 09:00:08+00:00,0.0015,$20-30B
2026-05-13 09:10:12+00:00,0.0015,$20-30B
2026-05-13 09:20:07+00:00,0.0015,$20-30B
2026-05-13 09:30:20+00:00,0.0015,$20-30B
2026-05-13 09:40:09+00:00,0.0015,$20-30B
2026-05-13 09:50:10+00:00,0.0015,$20-30B
2026-05-13 10:00:08+00:00,0.0015,$20-30B
2026-05-13 10:10:05+00:00,0.0015,$20-30B
2026-05-13 10:20:04+00:00,0.0015,$20-30B
2026-05-13 10:30:15+00:00,0.0015,$20-30B
2026-05-13 10:40:19+00:00,0.0015,$20-30B
2026-05-13 10:50:08+00:00,0.0015,$20-30B
2026-05-13 11:00:06+00:00,0.0015,$20-30B
2026-05-13 11:10:07+00:00,0.0015,$20-30B
2026-05-13 11:20:07+00:00,0.0015,$20-30B
2026-05-13 11:30:09+00:00,0.0015,$20-30B
2026-05-13 11:40:05+00:00,0.0015,$20-30B
2026-05-13 11:50:09+00:00,0.0015,$20-30B
2026-05-13 12:00:11+00:00,0.0015,$20-30B
2026-05-13 12:10:13+00:00,0.0015,$20-30B
2026-05-13 12:20:19+00:00,0.0015,$20-30B
2026-05-13 12:30:11+00:00,0.0015,$20-30B
2026-05-13 12:40:11+00:00,0.0015,$20-30B
2026-05-13 12:50:05+00:00,0.0015,$20-30B
2026-05-13 13:00:10+00:00,0.0015,$20-30B
2026-05-13 13:10:09+00:00,0.0015,$20-30B
2026-05-13 13:20:08+00:00,0.0015,$20-30B
2026-05-13 13:30:11+00:00,0.0015,$20-30B
2026-05-13 13:40:09+00:00,0.0015,$20-30B
2026-05-13 13:50:14+00:00,0.0015,$20-30B
2026-05-13 14:00:09+00:00,0.0015,$20-30B
2026-05-13 14:10:07+00:00,0.0015,$20-30B
2026-05-13 14:20:09+00:00,0.0015,$20-30B
2026-05-13 14:30:07+00:00,0.0015,$20-30B
2026-05-13 14:40:09+00:00,0.0015,$20-30B
2026-05-13 14:50:12+00:00,0.0015,$20-30B
2026-05-13 15:00:19+00:00,0.0015,$20-30B
2026-05-13 15:10:09+00:00,0.0015,$20-30B
2026-05-13 15:20:11+00:00,0.0015,$20-30B
2026-05-13 15:30:11+00:00,0.0015,$20-30B
2026-05-13 15:40:08+00:00,0.0015,$20-30B
2026-05-13 15:50:08+00:00,0.0015,$20-30B
2026-05-13 16:00:13+00:00,0.0015,$20-30B
2026-05-13 16:10:08+00:00,0.0015,$20-30B
2026-05-13 16:20:18+00:00,0.0015,$20-30B
2026-05-13 16:30:09+00:00,0.0015,$20-30B
2026-05-13 16:40:05+00:00,0.0015,$20-30B
2026-05-13 16:50:20+00:00,0.0015,$20-30B
